ID;Название;Приоритет;Предусловия;Шаги;Ожидаемый результат;Статус автоматизации;Причина отсутствия покрытия;;;;
1;Успешная авторизация пользователя с валидными даными ;Высокий;"1. Пользователь зарегестрирован. 
2. Данные для входа: логин 'login2', пароль 'password2'.";1. Открыть приложение 'мобильный-хоспис' ;Приложение запущено, отображается экран авторизации;;;;;;
;;;;2. Ввести в поле 'Login' значение 'login2';Значение 'login2' отображается в поле;;;;;;
;;;;3. Ввести в поле 'Password' значение 'password2';Пароль отображается в виде точек (скрыт);;;;;;
;;;;4. Нажать кнопку 'SIGN IN' ;Произошел переход на главный экран, отображается лента новостей;;;;;;
2;Валидация поля 'Login'. Авторизация с несуществующим логином;Высокий;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.
";1. Ввести в поле 'Login' значение на латинице (test);Значение 'test' отображается в поле;;;;;;
;;;;2. Ввести в поле 'Password' значение 'password2';Пароль отображается в виде точек (скрыт);;;;;;
;;;;3. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.';;;;;;
3;Валидация поля 'Login'. Ввод значения на кириллице;Средний;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.
";1. Ввести в поле 'Login' значение на кириллице (тест);Значение 'тест' отображается в поле;;;;;;
;;;;2. Ввести в поле 'Password' значение 'password2';Пароль отображается в виде точек (скрыт);;;;;;
;;;;3. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.';;;;;;
4;Валидация поля 'Login'. Ввод спецсимволов;Средний;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.
";1. Ввести в поле 'Login' значение из спецсимволов (&%$@#);Значение '&%$@#' отображается в поле;;;;;;
;;;;2. Ввести в поле 'Password' значение 'password2';Пароль отображается в виде точек (скрыт);;;;;;
;;;;3. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.';;;;;;
5;Валидация поля 'Login'. Ввод пробелов;Средний;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.
";1. Ввести в поле 'Login' пробелы (    );В поле введены символы пробела (курсор смещен вправо);;;;;;
;;;;2. Ввести в поле 'Password' значение 'password2';Пароль отображается в виде точек (скрыт);;;;;;
;;;;3. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке: 'Login and password cannot be empty.';;;;;;
6;Валидация поля 'Login'. Оставить поле незаполненным;Средний;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.
";1. Поле 'Login' оставить пустым ;Поле 'Login' остается пустым ;;;;;;
;;;;2. Ввести в поле 'Password' значение 'password2';Пароль отображается в виде точек (скрыт);;;;;;
;;;;3. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке: 'Login and password cannot be empty.';;;;;;
7;Валидация поля 'Login'. Ввод значения граничной длины (63 символа);Низкий;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.";1. Ввести в поле 'Login' строку длиной 63 символов;Значение из 63 символов отображается в поле;;;;;;
8;Валидация поля 'Login'. Ввод значения превышающего лимит (64 символа);Низкий;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.";1. Ввести в поле 'Login' строку длиной 64 символов;Значение обрезалось на 63 символе;;;;;;
9;Валидация поля 'Login'. Ввод существующего логина с изменением регистра букв;Средний;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.
";1. Ввести   в поле 'Login' значение (Login2);Значение 'Login2' отображается в поле;;;;;;
;;;;2. Ввести в поле 'Password' значение 'password2';Пароль отображается в виде точек (скрыт);;;;;;
;;;;3. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.';;;;;;
10;Валидация поля 'Password'. Авторизация с несуществующим паролем;Высокий;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.";1. Ввести в поле 'Login' значение 'login2';Значение 'login2' отображается в поле;;;;;;
;;;;2. Ввести в поле 'Password' значение на латинице(test);Пароль отображается в виде точек (скрыт);;;;;;
;;;;3. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.';;;;;;
11;Валидация поля 'Password'. Ввод значения на кириллице с системной клавиатуры;Высокий;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.";1. Нажать на поле ввода 'Password';Открылась клавиатура на латинской раскладке;;;;;;
;;;;2. Попытаться переключить системную клавиатуру на кириллицу;Вызов кириллической раскладки заблокирован;;;;;;
12;Валидация поля 'Password'. Ввод значения на кириллице с помощью вставки скопированного текста;Высокий;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.";1. Ввести в поле 'Login' значение 'login2';Значение 'login2' отображается в поле;;;;;;
;;;;2. Скопировать в буфер обмена текст на кириллице (пароль);Текст скопирован;;;;;;
;;;;3. Вставить скопированный текст в поле 'Password';Пароль отображается в виде точек (скрыт);;;;;;
;;;;4. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.';;;;;;
13;Валидация поля 'Password'. Ввод спецсимволов;Средний;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.";1. Ввести в поле 'Login' значение 'login2';Значение 'login2' отображается в поле;;;;;;
;;;;2. Ввести в поле 'Password' значение из спецсимволов (&$#*@);Пароль отображается в виде точек (скрыт);;;;;;
;;;;3. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.';;;;;;
14;Валидация поля 'Password'. Ввод пробелов;Средний;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.";1. Ввести в поле 'Login' значение 'login2';Значение 'login2' отображается в поле;;;;;;
;;;;2. Ввести   в поле 'Password' пробелы(    );Пароль отображается в виде точек (скрыт);;;;;;
;;;;3. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке: 'Login and password cannot be empty.';;;;;;
15;Валидация поля 'Password'. Оставить поле не заполненым;Средний;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.";1. Ввести в поле 'Login' значение 'login2';Значение 'login2' отображается в поле;;;;;;
;;;;2. Поле  'Password' оставить пустым ;Пароль отображается в виде точек (скрыт);;;;;;
;;;;3. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке: 'Login and password cannot be empty.';;;;;;
16;Валидация поля 'Password'. Ввод значения, превышающего лимит (1000 знаков);Высокий;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.";1. Ввести в поле 'Login' значение 'login2';Значение 'login2' отображается в поле;;;;;;
;;;;2. Ввести   в поле 'Password' строку из 1000 символов;Пароль отображается в виде точек (скрыт);;;;;;
;;;;2 Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.';;;;;;
17;Авторизация с пустыми полями 'Login' и 'Password';Средний;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.";1. Оставить поля  'Login' и 'Password' незаполненными;Значения в полях  'Login' и 'Password' отсутствуют;;;;;;
;;;;2 Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке: 'Login and password cannot be empty.';;;;;;
18;Выход пользователя из аккаунта;Высокий;Пользователь авторизован и находится в приложении.;1. Нажать на иконку профиля в верхней панели навигации;Открылось выпадающее меню, содержащее пункт 'Log out';;;;;;
;;;;2. Нажать на пункт меню 'Log out';Текущая сессия завершена, отображается экран авторизации с полями 'Login', 'Password'  и кнопкой 'SIGN IN';;;;;;
19;Переход в раздел 'News' через боковое меню 'гамбургер';Высокий;Пользователь авторизован и находится в приложении.;1. Нажать на кнопку  'гамбургер' (три горизнтальные полоски) в верхнем левом углу экрана;Открылось выпадающее меню навигации, отображаются разделы: 'Main', 'News', 'About';;;;;;
;;;;2. В выпадающем меню нажать на раздел 'News';Произошел переход в раздел 'News'. Список новостей успешно загружен и отображается на экране;;;;;;
20;Переход в раздел 'About' через боковое меню 'гамбургер';Высокий;Пользователь авторизован и находится в приложении.;1. Нажать на кнопку  'гамбургер' (три горизнтальные полоски) в верхнем левом углу экрана;Открылось выпадающее меню навигации, отображаются разделы: 'Main', 'News', 'About';;;;;;
;;;;2. В выпадающем меню нажать на раздел 'About';Произошел переход в раздел 'About'. На странице отображается: номер версии, ссылка на политику приватности и условия эксплуатации;;;;;;
21;Возврат из раздела 'About';Высокий;Пользователь авторизован и находится в приложении.;1. Нажать на кнопку  'гамбургер' (три горизнтальные полоски) в верхнем левом углу экрана;Открылось выпадающее меню навигации, отображаются разделы: 'Main', 'News', 'About';;;;;;
;;;;2. В выпадающем меню нажать на раздел 'About';Произошел переход в раздел 'About'. На странице отображается: номер версии, ссылка на политику приватности и условия эксплуатации;;;;;;
;;;;3. Нажать на стрелку 'Назад' в верхнем левом углу экрана;Произошел переход на предыдущую страницу, с которой открывался раздел 'About';;;;;;
22;Переход в раздел 'Main' через боковое меню 'гамбургер';Высокий;Пользователь авторизован и находится в приложении в разделе 'News'.;1. Нажать на кнопку  'гамбургер' (три горизнтальные полоски) в верхнем левом углу экрана;Открылось выпадающее меню навигации, отображаются разделы: 'Main', 'News', 'About';;;;;;
;;;;2. В выпадающем меню нажать на раздел 'Main';Произошел переход в раздел 'Main'. На странице отображается: выпадающий список News (с вложенной ссылкой ALL NEWS);;;;;;
23;Переход в раздел цитат через кнопку 'бабочка';Высокий;Пользователь авторизован и находится в приложении.;1. В верхней панели навигации нажать на кнопку с иконкой 'бабочка';Произошел переход на страницу с заголовком 'Love is all'. Отображается список доступных цитат;;;;;;
24;Раскрытие описания цитаты;Высокий;"1.Пользователь авторизован и находится в разделе цитат 'Love is all'.
2. В списке присутствует хотя бы одна цитата.";1. Нажать на стрелку (кнопку раскрытия) в блоке любой цитаты;Блок цитаты расширяется вниз, становится виден ранее скрытый текст с полным описанием цитаты;;;;;;
25;Переход по внешней ссылке 'Privacy Policy';Высокий;Пользователь авторизован и находится в разделе 'About'.;1. Нажать на ссылку 'Privacy Policy';Приложение переходит в фоновый режим, открывается системный браузер ;;;;;;
;;;;2. Проверить состояние загруженной страницы в браузере;В браузере открывается корректный URL политики приватности. Страница полностью загружена, отображается текст документа;;;;;;
26;Переход по внешней ссылке 'Terms of use' ;Высокий;Пользователь авторизован и находится в разделе 'About'.;1. Нажать на ссылку 'Terms of use';Приложение переходит в фоновый режим, открывается системный браузер ;;;;;;
;;;;2. Проверить состояние загруженной страницы в браузере;В браузере открывается корректный URL условия использования. Страница полностью загружена, отображается текст документа;;;;;;
27;Раскрытие описания новости в разделе 'Main';Высокий;Пользователь авторизован и находится в разделе 'Main'.;1. Нажать на стрелку (кнопку раскрытия) в блоке любой новости;Блок новости расширяется вниз, становится виден ранее скрытый текст с описанием ;;;;;;
28;Переход в раздел  'News' из раздела 'Main' через ссылку 'ALL NEWS';Высокий;Пользователь авторизован и находится в разделе 'Main'.;1. Нажать на ссылку 'ALL NEWS' на главной странице;Осуществлен переход в раздел 'News'. Список новостей успешно отображен и доступен для просмотра;;;;;;
29;Раскрытие описания новости в разделе 'News';Высокий;Пользователь авторизован и находится в разделе 'News'.;1. Нажать на стрелку раскрытия в блоке любой новости;Блок новости расширяется вниз, становится виден ранее скрытый текст с описанием ;;;;;;
30;Кнопка сортировки новостей в разделе 'News';Высокий;"1. Пользователь авторизован и находится в разделе 'News'.
2. В списке есть минимум две новости";1. Нажать на кнопку сортировки (стрелки) в верхней панели раздела;Прядок новостей изменился. Сверху отображаются более старые публикации(сортировка по убыванию даты);;;;;;
;;;;2. Повторно нажать на кнопку сортировки (стрелки);Прядок новостей изменился. Сверху отображаются самые новые публикации (сортировка по убыванию даты);;;;;;
31;Кнопка фильтрации новостей в разделе 'News';Высокий;Пользователь авторизован и находится в разделе 'News'.;1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени, кнопки 'FILTER'  и 'CANCEL';;;;;;
32;Кнопка редактирования новостей в разделе 'News';Высокий;Пользователь авторизован и находится в разделе 'News'.;1. Нажать на кнопку редактирования (карандаш) в верхней панели раздела;Осуществлен переход на страницу редактирвания новостей (Control panel). На странице отображается список изданий;;;;;;
33;Кнопка 'REFRESH' при отсутствии новостей в разделе News ;Высокий;"1. Пользователь авторизован и находится в разделе 'News'.
2. Список новостей пустой";1. Нажать на кнопку 'REFRESH' ;Происходит обновление страницы (появление индикатора загрузки). Список остается пустым, кнопка 'REFRESH' остается доступной;;;;;;
34;Фильтрация новостей по всем полям в разделе 'News';Высокий;Пользователь авторизирован и находится  в разделе 'News'.;1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени, кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Выбрать значение в поле 'Category';Поле заполнено выбранной категорией из выпадающего списка;;;;;;
;;;;2. Выбрать дату начала периода;Дата начала периода выбрана и отображается в поле;;;;;;
;;;;3. Выбрать дату окончания периода;Дата окончания периода выбрана и отображается в поле;;;;;;
;;;;4. Нажать кнопку 'FILTER';Форма фильтрации закрылась, в списке отображаются новости, соответствующие заданным критериям/отображается пустой экран и кнопка 'REFRESH';;;;;;
35;Отмена фильтрации новостей в разделе 'News';Высокий;Пользователь авторизирован и находится  в разделе 'News'.;1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени, кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Выбрать значение в поле 'Category';Поле заполнено выбранной категорией из выпадающего списка;;;;;;
;;;;3. Нажать кнопку 'CANCEL';Форма фильтрации закрылась, отображается основной список новостей;;;;;;
36;Фильтрация новостей по полю 'Category' ;Высокий;Пользователь авторизирован и находится  в разделе 'News'.;1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени, кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Выбрать значение в поле 'Category';Поле заполнено выбранной категорией из выпадающего списка;;;;;;
;;;;3. Нажать кнопку 'FILTER';Форма фильтрации закрылась, в списке отображаются новости, относящиеся к выбранной категории/отображается пустой экран и кнопка 'REFRESH';;;;;;
37;Фильтрация новостей по валидному периоду дат;Высокий;Пользователь авторизирован и находится  в разделе 'News'.;1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени, кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Выбрать дату начала периода;Дата начала периода выбрана и отображается в поле;;;;;;
;;;;3. Выбрать дату окончания периода;Дата окончания периода выбрана и отображается в поле;;;;;;
;;;;4. Нажать кнопку 'FILTER';Форма фильтрации закрылась, в списке отображаются новости с датой публикации в выбранном диапозоне/отображается пустой экран и кнопка 'REFRESH';;;;;;
38;Фильтрация только с датой начала периода;Высокий;Пользователь авторизирован и находится  в разделе 'News'.;1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени, кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Выбрать дату начала периода;Дата начала периода выбрана и отображается в поле;;;;;;
;;;;3. Нажать кнопку 'FILTER';Появляется всплывающее окно с текстом ошибки 'Wrong period';;;;;;
39;Фильтрация только с датой окончания периода;Высокий;Пользователь авторизирован и находится  в разделе 'News'.;1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени, кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Выбрать дату окончания периода;Дата начала периода выбрана и отображается в поле;;;;;;
;;;;3. Нажать кнопку 'FILTER';Появляется всплывающее окно с текстом ошибки 'Wrong period';;;;;;
40;Фильтрация новостей по невалидному периоду;Средний;Пользователь авторизирован и находится  в разделе 'News'.;1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени, кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Выбрать дату начала периода (она должна быть позже даты окончания) (06.03.2026);Дата начала периода выбрана и отображается в поле;;;;;;
;;;;3. Выбрать дату окончания периода (она должна быть раньше даты начала) (01.03.2026);Дата окончания периода выбрана и отображается в поле;;;;;;
;;;;4. Нажать кнопку 'FILTER';Форма фильтрации закрылась, список пуст отображается кнопка 'REFRESH';;;;;;
41;Отмена выбора даты начала (в календаре);Высокий;Пользователь авторизирован и находится  в разделе 'News'.;1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени, кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Нажать на поле с датой начала периода;Открылось модальное окно календаря для выбора дыты;;;;;;
;;;;3. Выбрать любую дату в календаре;Дата подсвечена в календаре;;;;;;
;;;;4. Нажать кнопку 'CANCEL' ;Окно календаря закрылось. В форме фильтрации поле даты начала осталось пустым;;;;;;
42;Отмена выбора даты окончания (в календаре);Высокий;Пользователь авторизирован и находится  в разделе 'News'.;1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени, кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Нажать на поле с датой окончания периода;Открылось модальное окно календаря для выбора дыты;;;;;;
;;;;3. Выбрать любую дату в календаре;Дата подсвечена в календаре;;;;;;
;;;;4. Нажать кнопку 'CANCEL' ;Окно календаря закрылось. В форме фильтрации поле даты окончания осталось пустым;;;;;;
43;Кнопка сортировки новостей в 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть минимум две новости";1. Нажать на кнопку сортировки (стрелки) в верхней панели раздела;Прядок новостей изменился. Сверху отображаются более старые публикации(сортировка по убыванию даты);;;;;;
;;;;2. Повторно нажать на кнопку сортировки (стрелки);Прядок новостей изменился. Сверху отображаются самые новые публикации (сортировка по убыванию даты);;;;;;
44;Кнопка фильтрации новостей в 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени,  чекбоксы 'Active' и 'Not active', кнопки 'FILTER'  и 'CANCEL';;;;;;
45;Кнопка добавления новых новостей в 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', кнопки 'SAVE' и 'CANCEL';;;;;;
