ID;Название;Приоритет;Предусловия;Шаги;Ожидаемый результат;Статус автоматизации;Причина отсутствия покрытия;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. Рядом с незаполненными обязательными полями отображается индикатор ошибки (восклицательный знак);;;;;;
99;Валидация поля 'Publication date' при создании новости (пустое поле);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Оставить поле 'Publication date' пустым, остальные поля заполнить вадидными данными;Поле 'Publication date' не заполнено, остальные поля содержат данные;;;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. Рядом с полем 'Publication date' отображается индикатор ошибки (восклицательный знак);;;;;;
100;Валидация поля 'Publication date' при создании новости (прошедшая дата);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Нажать на поле 'Publication date';Открывается форма календаря, текущая дата подсвечена;;;;;;
;;;;3. Попытаться выбрать любую прошедшую дату (вчерашнее число);Прошешие даты визуально неактивны (серого цвета). Клик по ним не приводит к выбору даты;;;;;;
101;Отмена выбора даты публикации при создании новости;Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Нажать на поле 'Publication date';Открывается форма календаря, текущая дата подсвечена;;;;;;
;;;;3. Выбрать любую дату в календаре;Дата подсвечена в календаре;;;;;;
;;;;4. Нажать кнопку 'CANCEL' ;Окно календаря закрылось. В форме создания поле даты публикации осталось незаполненным;;;;;;
102;Создание новости с заполнением только поля 'Time';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2.  Установить время в поле 'Time'и оставить остальные поля пустыми;Поле  'Time' - заполнено. Поля 'Category', 'Title', 'Publication date', 'Description' - пустые;;;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. Рядом с незаполненными обязательными полями отображается индикатор ошибки (восклицательный знак);;;;;;
103;Валидация поля 'Time' при создании новости (пустое поле);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Оставить поле 'Time' пустым, остальные поля заполнить валидными данными;Поле 'Time' не заполнено, остальные поля содержат данные;;;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. Рядом с полем 'Time' отображается индикатор ошибки (восклицательный знак);;;;;;
104;Отмена выбора времени при создании новости;Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. Выбрать любое время;Время отражено вверху формы с часами;;;;;;
;;;;4. Нажать кнопку 'CANCEL' ;Форма с часами закрылась. В форме создания новости поле времени публикации осталось незаполненным;;;;;;
105;Заполнение поля 'Time'  через клавиатуру при создании новости;Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение и ввести в ручную (15:10);Значение корректно отображается в поле 'Time';;;;;;
106;Отмена выбора времени через клавиатуру при создании новости;Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение и ввести любое время;Значение корректно отображается в поле 'Time';;;;;;
;;;;5. Нажать кнопку 'CANCEL' ;Форма 'Set time' закрылась. В форме редактирования поле времени публикации осталось незаполненным;;;;;;
107;Заполнение поля 'Time'  через клавиатуру при создании новости (валидация неккоректного времени - пустые поля);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение и оставить поля незаполненным;Поля 'hour' и 'minute' незаполнены;;;;;;
;;;;5. Нажать кнопку 'OK';Форма не закрылась. Появилось сообщение об ошибке: 'Enter a valid time';;;;;;
108;Заполнение поля 'Time'  через клавиатуру при создании новости (валидация неккоректного времени - пустое поле 'hour');Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение, оставить поле 'hour' незаполненным, в поле 'minute' ввести значение от 0 до 59;Поле 'hour' пустое, поле 'minute' заполнено;;;;;;
;;;;5. Нажать кнопку 'OK';Форма не закрылась. Появилось сообщение об ошибке: 'Enter a valid time';;;;;;
109;Заполнение поля 'Time'  через клавиатуру при создании новости (валидация неккоректного времени - пустое поле 'minute');Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение, заполнить поле 'hour' значением от 00 до 23, поле 'minute' оставить незаполненым;Поле 'hour' заполнено, поле 'minute' пустое;;;;;;
;;;;5. Нажать кнопку 'OK';Форма не закрылась. Появилось сообщение об ошибке: 'Enter a valid time';;;;;;
110;Заполнение поля 'Time'  через клавиатуру при создании новости (валидация неккоректного времени - граничное значение в поле 'hour');Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение, заполнить поле 'hour' значением 24, в поле 'minute' ввести значение от 0 до 59;Поле 'hour' и поле 'minute' заполнено;;;;;;
;;;;5. Нажать кнопку 'OK';Форма не закрылась. Появилось сообщение об ошибке: 'Enter a valid time';;;;;;
111;Заполнение поля 'Time'  через клавиатуру при создании новости (валидация неккоректного времени - граничное значение в поле 'minute');Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение, заполнить поле 'hour' значением от 00 до 23, в поле 'minute' ввести значение 60;Поле 'hour' и поле 'minute' заполнено;;;;;;
;;;;5. Нажать кнопку 'OK';Форма не закрылась. Появилось сообщение об ошибке: 'Enter a valid time';;;;;;
112;Заполнение поля 'Time'  через клавиатуру при создании новости (валидация неккоректного времени - ввод спецсимволов');Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение, попытаться заполнить поля 'hour' или 'minute' спецсимволами (-#+./);Поля блокируют ввод значения '-#+./'.  Поля остаются пустыми;;;;;;
113;Переключение способа ввода времени в форме создания новости;Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. В левом нижнем углу формы 'Set time' нажать на кнопку переключения 'часы';Открывается форма часов для выбора времени;;;;;;
114;Создание новости с заполнением только поля 'Description';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Ввести значение в поле 'Description' и оставить остальные поля пустыми;Поле 'Description' - заполнено. Поля 'Category', 'Title', 'Publication date', 'Time' - пустые;;;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. Рядом с незаполненными обязательными полями отображается индикатор ошибки (восклицательный знак);;;;;;
115;Валидация поля 'Description' при создании новости (пустое поле);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Оставить поле 'Description' пустым, остальные поля заполнить вадидными данными;Поле 'Description' не заполнено, остальные поля содержат данные;;;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. Рядом с полем 'Description' отображается индикатор ошибки (восклицательный знак);;;;;;
116;Валидация поля 'Description' при создании новости (пробелы в поле);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. В поле 'Description' ввести несколько пробелов (без других символов), остальные поля заполнить вадидными данными;В поле 'Description' не отображается текст, курсор смещен вправо на соответствующее колличество введенных пробелов. Остальные поля содержат данные;;;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. Рядом с полем 'Description' отображается индикатор ошибки (восклицательный знак);;;;;;
117;Валидация поля 'Description' при создании новости (1 символ в поле);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. В поле 'Description' ввести  1 символ (А), остальные поля заполнить валидными данными;В поле 'Description' отображается новый введенный текст, остальные поля содержат данные;;;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма закрылась. Призошел возврат к списку 'Control panel'. У созданной новости отображается заголовок (А);;;;;;
118;Валидация поля 'Description' при создании новости (5000 символов в поле);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. В поле 'Description' ввести 5000 символов, остальные поля заполнить валидными данными;В поле 'Description' отображается новый введенный текст, остальные поля содержат данные;;;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма закрылась. Призошел возврат к списку 'Control panel'. ;;;;;;
;;;;4. Нажать на стрелку раскрытия в блоке только что созданной новости;Блок новости расширяется вниз, становится виден ранее скрытый текст с описанием на 5000 символов;;;;;;
119;Создание новости (незаполненные поля);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Нажать кнопку 'SAVE' ;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. Рядом с незаполненными обязательными полями отображается индикатор ошибки (восклицательный знак);;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
